id,name,description,floor_number,building_name,contact_number,office_hours,avg_waiting_time_minutes,keywords
1,General Medicine,"Everyday illness, fever, general checkups",1,Main Building,+91-40-4000-1001,Mon-Sat 09:00-17:00,10,"General,Fever,Cold,Cough,Checkup,OPD"
2,Cardiology,Heart disease and cardiovascular care,3,Main Building,+91-40-4000-1002,Mon-Sat 09:00-17:00,10,"Heart,Chest Pain,Cardiac,ECG,Blood Pressure"
3,Orthopedics,"Bone, joint, and spine care",2,Main Building,+91-40-4000-1003,Mon-Sat 09:00-17:00,20,"Bone,Fracture,Joint,Spine,Back Pain"
4,Neurology,Brain and nervous system disorders,4,Main Building,+91-40-4000-1004,Mon-Sat 09:00-17:00,15,"Brain,Nerve,Headache,Migraine,Stroke,Seizure"
5,Gastroenterology,Digestive system care,2,Main Building,+91-40-4000-1005,Mon-Sat 09:00-17:00,15,"Stomach,Digestion,Liver,Ulcer,Acidity"
6,Pulmonology,Breathing and respiratory disorders,3,Main Building,+91-40-4000-1006,Mon-Sat 09:00-17:00,15,"Lungs,Breathing,Asthma,Cough,Respiratory"
7,Oncology,Cancer diagnosis and treatment,5,Cancer Care Building,+91-40-4000-1007,Mon-Sat 09:00-17:00,10,"Cancer,Tumor,Chemotherapy,Oncology"
8,Pediatrics,Child healthcare,1,Main Building,+91-40-4000-1008,Mon-Sat 09:00-17:00,30,"Child,Baby,Infant,Vaccination,Pediatric"
9,Gynecology,Women's health and maternity,2,Main Building,+91-40-4000-1009,Mon-Sat 09:00-17:00,10,"Pregnancy,Women,Maternity,Gynecology"
10,Dermatology,"Skin, hair, and nail care",1,Main Building,+91-40-4000-1010,Mon-Sat 09:00-17:00,30,"Skin,Rash,Allergy,Hair,Dermatology"
11,ENT,"Ear, nose, and throat care",1,Main Building,+91-40-4000-1011,Mon-Sat 09:00-17:00,25,"Ear,Nose,Throat,Hearing,Sinus"
12,Ophthalmology,Eye care,1,Main Building,+91-40-4000-1012,Mon-Sat 09:00-17:00,10,"Eye,Vision,Cataract,Ophthalmology"
13,Dentistry,Dental and oral care,0,Main Building,+91-40-4000-1013,Mon-Sat 09:00-17:00,10,"Teeth,Dental,Tooth,Oral"
14,Psychiatry,Mental health care,4,Main Building,+91-40-4000-1014,Mon-Sat 09:00-17:00,10,"Mental Health,Anxiety,Depression,Psychiatry"
15,Nephrology,Kidney care,3,Main Building,+91-40-4000-1015,Mon-Sat 09:00-17:00,15,"Kidney,Dialysis,Nephrology"
16,Urology,Urinary system care,3,Main Building,+91-40-4000-1016,Mon-Sat 09:00-17:00,15,"Urinary,Bladder,Prostate,Urology"
17,Emergency,24x7 emergency and trauma care,0,Main Building,+91-40-4000-1017,24x7,30,"Emergency,Trauma,Accident,Urgent,Casualty"
18,Radiology & Imaging,"X-ray, CT, MRI, ultrasound",0,Diagnostics Building,+91-40-4000-1018,Mon-Sat 09:00-17:00,30,"X-ray,Scan,MRI,CT,Ultrasound,Imaging"
19,Laboratory,Blood tests and diagnostics,0,Diagnostics Building,+91-40-4000-1019,Mon-Sat 09:00-17:00,10,"Blood Test,Lab,Sample,Diagnostics,Pathology"
20,Pharmacy,Medicine dispensing,0,Main Building,+91-40-4000-1020,Mon-Sat 09:00-17:00,30,"Medicine,Pharmacy,Drugs,Prescription"
